COT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-6-10,33,28,23,25,24,23,100,76,58,1011,1008,1006,16,11,5,11,2,,0.51,6,,296
2013-6-11,33,28,23,26,24,23,100,84,56,1010,1009,1008,14,10,4,19,2,,2.03,6,Thunderstorm,295
2013-6-12,34,29,23,26,24,23,100,77,53,1012,1010,1007,16,12,10,13,0,,0.00,4,Thunderstorm,310
2013-6-13,34,29,24,27,25,22,94,72,53,1010,1008,1006,16,11,10,11,2,,0.25,5,,0
2013-6-14,31,28,25,26,26,24,100,85,66,1009,1007,1006,18,10,5,11,0,,4.06,6,Rain-Thunderstorm,250
2013-6-15,32,28,23,26,25,24,100,83,58,1011,1009,1006,18,11,7,0,0,,0.51,5,Rain,-1
2013-6-16,34,29,24,26,26,24,100,74,54,1009,1008,1006,18,11,10,11,2,,0.00,4,,320
2013-6-17,33,29,26,27,26,25,100,79,60,1010,1007,1005,14,9,1,0,0,,0.00,6,,-1
2013-6-18,35,30,25,27,26,25,100,76,54,1009,1007,1004,14,10,3,13,2,,0.00,3,,305
2013-6-19,32,27,21,25,24,22,94,79,58,1009,1007,1005,16,11,5,19,6,,0.51,5,Thunderstorm,185
2013-6-20,32,28,24,26,25,24,100,80,58,1010,1008,1005,14,11,10,14,0,,0.00,6,,330
2013-6-21,32,29,25,26,26,24,100,81,67,1010,1008,1006,18,11,8,14,3,,0.00,6,,270
2013-6-22,34,29,24,27,26,25,100,74,55,1009,1007,1005,16,10,6,13,2,,0.00,4,,265
2013-6-23,34,30,26,27,26,25,100,78,57,1009,1007,1006,14,11,8,14,2,,0.00,5,,303
2013-6-24,31,26,21,25,24,22,95,82,63,1012,1010,1008,16,10,0,21,8,,9.91,6,Rain-Thunderstorm,280
2013-6-25,31,28,24,26,26,24,100,85,68,1013,1010,1008,18,11,10,0,0,,4.06,7,Rain,-1
